title,artist,year,medium,description,artist_bio,location,period,provenance,image_url,source_url
The Return of the Lean Dogs,Ben Osaghae,2000,Oil on Canvas,"The Return of the Lean Dogs captures a group of young men, presumably vigilante or gang members, fraternizing over cigarettes and palm wine, probably after a long, stressful day.",Ben Osaghae was famous for his stylish approach to contemporary happenings in the society with abstract expressionism.,Nigeria,Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_R1t_CVw6YS8Zmhyvl_vDvki297syttcyEu4BC8m0IHKSkzdWCmL_JfcLZvuL-NHBXgWugW,https://artsandculture.google.com/asset/the-return-of-the-lean-dogs/LQFRdBW4vZ7Wlw
Pandora's Box,Nathalie Djaku Kassi,2018,White Glazed Clay,"Pandora's Box, in ancient Greek mythology, was a cursed gift (in a jar) presented to Pandora, the first human woman created on the instructions of Zeus. Modern meanings of ""any source of great and unexpected troubles"" and ""a present which seems valuable but which in reality is a curse"" have been ascribed to it. However, Nathalie chose to translate and explore this theme as everyone's ""Pot of Secrets"". You find the faces all over this pot as metaphoric representations of the prying eyes of inquisitive friends and the general public who are very curious about your personal secrets not minding how troublesome they are to you.",,Nigeria,Sculpture,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_SLiEqegu1KCNQxd2aWszfqcLzNEDyE4ts5dcWK54_NGTKG1Zdn7qANF5fnjdX549eU6Txhigw,https://artsandculture.google.com/asset/pandora-s-box/0AEocomRm3VHRA
Adam in the Garden of Eden,Uche Okeke,,Ink on paper,"Adam in the Garden of Eden, Okeke reimagines Adam as an African figure, surrounded by natural elements. The figure is drawn in his signature uli style, with lyrical lines emphasizing the trees, birds, and foliage that frame the scene. The loincloth-clad Adam stands with a potbelly, grounding the biblical story in an African context, while the composition celebrates the connection between humanity and nature.","Uche Okeke, a pioneer of modern Nigerian art, is known for his use of uli—a traditional Igbo art form based on fluid, linear patterns. His works frequently reinterpret African myths and stories, blending traditional and modern aesthetics. In",,Painting,Yemisi Shyllon Museum of Art,https://lh3.googleusercontent.com/ci/AL18g_TgTL9lstlbzwh4i5gub1ryEhZDsuZl6Jy3agsTNk1i5zRq1HepdIjFA9nfPr_A8R4uUbUwnQ,https://artsandculture.google.com/asset/adam-in-the-garden-of-eden/eAHB2atXE5_zEg
Prayer Warriors II,Ben Osaghae,2009,Acrylic on Canvas,"Prayer Warriors II, two figures stand in front of microphones, seemingly preaching or leading worship. The microphones are attached to orange-colored lecterns, one of which has an open book. The painting's simple color scheme—cadmium orange, cobalt blue, and light green—reflects the precision and economy of Osaghae’s work. This painting critiques the exploitation of religion for personal gain.","Ben Osaghae was a renowned Nigerian artist best known for his satirical commentary on social and religious issues through his paintings. He used his work to highlight the contradictions and challenges within Nigerian society, often touching on religion, politics, and everyday life. Osaghae’s “Religious Series” critically examines the commercialization of religion by some preachers. In",,Painting,Yemisi Shyllon Museum of Art,"https://lh3.googleusercontent.com/ci/AL18g_Q7hQi8GDgJ1XSyZSfNLWc3FTEkbrt7D32dg1rSszEst85WpveZL6b44mvSRFTpamtoI9Yq=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/prayer-warriors-ii/hwGVWdU0UoKCxA
Prayer Request,Amon Kotei,1997,Oil on Canvas,The painting depicts a female figure down on her knees with her palms clasped together in prayer. The face of the lady is hardly visible as mostly dark colours have been used in depicting it. The painting also appears to have a number of colours going across the figure vertically and this creates a multi colored effect. The colours in the background can be seen on the figure as well.,,Ghana,Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University","https://lh3.googleusercontent.com/ci/AL18g_RZ4ODzNx6Tf4xlXeIpGFlW-1WU1IyrydyDCmalheYyyxNaRE7ynvXuuzbxhJYuur4ninDh2g=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/prayer-request/7wGvBPD-N56Ssg
The Dancer,Ben Enwonwu,1959,Bronze,,"Ben Enwonwu embarked on the Africa Dances series during his studies in London in the 1940s. In the book, Gorer reflected on colonial rule and its impact on traditional life in Africa. Enwonwu used the series as visual illustrations of his views on the state of the modern Nigerian culture at the time, with attention to the symbolic imageries he saw in different scenes of traditional ceremonies, cultural dances and ritual performances of different ethnic groups in the country. This became a dominant theme throughout his career and was revisited in a lot of his paintings and sculptures.","Lagos, Nigeria",,,https://lh3.googleusercontent.com/ci/AL18g_Rqq3CDPdBfPb1K3UMf-ewwv055QhHm4qM8HsllAaZc4cKvTSwHoYy-Nc0syTrJvyc4QwLZBQ,https://artsandculture.google.com/asset/the-dancer/RwHLqHsOTqmd-w
The Adanma Masquerade,Okpu Eze,1989,Wood,,"Okpu Eze was a contemporary Nigerian painter and sculptor born in 1934. He was largely self-taught as an artist before receiving formal education and training at the Technical Institute & Trade Centre, Enugu, 1950-1955 and Westham Technical College, London, where he studied Technology & Techniques of Materials, 1963-1964. He was the first recipient of the Mbanefo Trophy for Art, Eastern Nigeria, in 1956. He also won the Sculpture Prize of the Economic Commission of West Africa States, Togo, 1990. Among his notable solo exhibitions as an artist was the ""Legacy of Images: The Sculptures of Okpu Eze,"" Italian Cultural Institute, Lagos, April, 1989; New Africa Centre, London, May 1990. He also participated in group exhibitions in Africa and Europe including the First World Festival of Negro Arts, Dakar, Senegal, 1966 and the 269th exhibition of The Royal Society of British Artists at the Mall galleries, London in 1986, which led to his election as Associate Member of the Royal Society of British Artists. In addition to his artistic practice, Okpu Eze was also highly respected for his knowledge and insights as a scholar. He was a guest art critic to the <i>Nigeria Magazine in the 1960’s. Before his death in 1995, he was the serving president of the Society of Nigerian Artists (SNA). Done in 1989, Adanma Masquerade is a classic masterpiece denoting the famous contemporary female masquerade of the Igbo people. Adanma or Adamma simply means the beautiful first daughter (of the family). Though worn and performed by a male masker, the mask is designed and decorated to give it a feminine outlook and appeal. The mask is known to be harmless and non-spiritual and is not worshipped by the people as common with other powerful masks. It is specially made for entertainment and can be worn by any man who can comfortably display and perform feminine dance attributes/steps qualities while dancing. Okpu Eze captures the notable female attributes of beauty, elegance, shyness and grace associated with the masquerade which is lauded for its unique ability to “enchant” her spectators with gracious body movements during performance.",Nigeria,Sculpture,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_RA3k13I8FQ77qBq5bc3JGllbMQ66TKuMQShGIe7mjxwlHvrHLXj4UMgeAlMdjZHtdF_UWgxvgv=x0-y0-z0-nt0W9OhOaGV955Wq_A4_04cJRZon_0,https://artsandculture.google.com/asset/the-adanma-masquerade/ygEbXW_Dl2WRIg
The Conversation (3 Pieces),Bisi Fakeye,1995,Wood,"The Conversation (3 Pieces), Bisi uses abstract representations of what looks like 3 young ladies as metaphors to explore a contemporary idea of chit-chatting sisters/friends. The pieces look very similar with minimal differences in height. The necks are stretched while faces are all painted black. A staring inquisitive mind would want to think and try to guess what these women could possibly be talking about.","Bisi Fakeye was a 5th generation wood carver from the prestigious Fakeye lineage of wood carvers born in Ila-Orangun in 1942. Bisi learned and practiced as an apprentice under his uncle, Lamidi Fakeye, the master wood carver and the best recorded in the family history. He had little formal education finishing at Teachers’ Training College. He abandoned teaching to focus completely on carving. In 1968, he relocated to Lagos and joined the Universal Studio of Arts (U.S.A), one of the oldest studio groups in the nation’s visual art, at the National Theatre, Iganmu, Lagos as one of its foundation members. Having learned from his uncle at Ila-Orangun, Osun state, Bisi built his fame on the existing reputation and carving history of the Fakeye lineage. Upon arriving Lagos, he mixed and interacted with formally-trained colleagues, built a commercial base and quickly became part of the thriving Lagos art scene which attracted a lot of global attention and exposure to his art. His style which was typical of the modern traditional composition of his Fakeye lineage had a blends of very contemporary themes, ideologies, and activities. His art in the last 10 years of his life was unique for its richness in contemporary composition and texture. In",Nigeria,Sculpture,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_QYiQIf2Aks1ILNic_JKq-q8LDfsb7HTy6VY97vfzgqCUOmbAy8bvZYB8mM8v8WO8F1ap_5ag,https://artsandculture.google.com/asset/the-conversation-3-pieces/EQEtZrpaB4qKjw
The Yemisi Shyllon Museum of Art (YSMA),,2020,,"The Yemisi Shyllon Museum of Art (YSMA), of the Pan-Atlantic University, Lagos, is the first purpose built, privately owned art museum in Nigeria. The 900 sqm museum hosts over 1000 artworks from Prince Yemisi Shyllon’s vast art collection. Thanks to him, the YSMA is privileged to have one of the most comprehensive and diverse art collections in the country and to make it accessible to all visitors. The Museum opened to the public in 2020 and was designed by Spanish-Nigerian architect and Director Jess Castellote. The architecture of the YSMA aligns with the principles that inspired the design of all the buildings at the Pan-Atlantic University; fitness for purpose, flexibility, sustainability and character. The stained concrete outer walls were inspired by the red mud houses of earlier civilizations such as the ancient Benin Kingdom.",,Nigeria,Photograph,"Yemisi Shyllon Museum of Art, Pan-Atlantic University","https://lh3.googleusercontent.com/ci/AL18g_Q7hQi8GDgJ1XSyZSfNLWc3FTEkbrt7D32dg1rSszEst85WpveZL6b44mvSRFTpamtoI9Yq=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/the-yemisi-shyllon-museum-of-art-ysma/BwHYflYZoijayg
Fourteenth Station,Bruce Onobrakpeya,,Print,"The fourteenth station portrays the burial of Christ, with his body laid on a stone platform within an enclosed space, signifying the tomb. Surrounding him are his disciples, mourning, while his mother stands sorrowfully on the left-hand side. This final piece in Onabrakpeya's 14-print series maintains his consistent use of form, color, and expressive visual elements. While the series is rooted in the Catholic Stations of the Cross, Onabrakpeya infuses the narrative with a distinctly African context. The figures, gestures, and emotional expressions resonate deeply with a Nigerian audience, showcasing the artist’s ability to personalize the biblical story for his cultural environment. His unique approach allows the artwork to transcend religious boundaries, connecting with viewers through shared cultural symbols and experiences.",,,Print,Yemisi Shyllon Museum of Art,"https://lh3.googleusercontent.com/ci/AL18g_QbeJzN6HKtQniE5ItbEd_-F1wL45jnWt8Uwdsu3_NuWgjV2X9vqsHyfR8mU1LQwC-JAs2j=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/fourteenth-station/bwG376J1CZj8vA
